,Naive,Default,MD5,SHA256,Jenkins
10,0.007480486430000011,0.006507171068571438,0.00895755795999987,0.008220250355714305,0.012310444651428562
50,0.0045124421199999884,0.002609827621428654,0.004608562958571351,0.004444997684285811,0.008454676959999817
250,0.00434459683857146,0.0018351583914285844,0.0040154171328574,0.0038607543714286813,0.008301611772856826
500,0.004458174320000024,0.002042832225714213,0.004734637675714209,0.0036190701742857202,0.008143978938571113
1000,0.0044967959585714215,0.0017894262257142047,0.0037443725214287888,0.0037189136228568845,0.008239602972857613
2000,0.004851836158571367,0.0023279214885715354,0.003866778497143092,0.003582954125714163,0.00850106388428555
5000,0.004518163007142846,0.0017579132299999855,0.003270810638571545,0.003582031917143078,0.010980004491428386
15000,0.004512566588571474,0.001743669231428677,0.003187445445714242,0.0035796978314288352,0.007054473391428278
25000,0.004500159597142905,0.0017758844028569294,0.0033339107457144176,0.003601907281428274,0.007467750988571749
100000,0.004723387351428658,0.00195938806285702,0.0032335626314284127,0.003499236945714139,0.0077220544042857645
