,Naive,Default,MD5,SHA256,Jenkins
10,0.007545441311428576,0.007092463447142937,0.00952076826571426,0.007987718045714506,0.012014327971428105
50,0.004506184121428579,0.0026744991771427556,0.0046414656114284625,0.004326323748571375,0.008551056175714231
250,0.004296536457142821,0.0019971866857144147,0.003823248871428372,0.003827073128571458,0.00818890048142813
500,0.0050689850042857035,0.0018380538242856962,0.004213046091428591,0.003546727971428254,0.008249242318571045
1000,0.004483561759999962,0.001818996685714345,0.003764604368571359,0.003545858141428815,0.00817774190999931
2000,0.005481418988571493,0.0018000535471429657,0.0037225716299998826,0.003659634484285529,0.008208939054285824
5000,0.004500357341428582,0.00175608783857131,0.0032588273257140696,0.00346381447142887,0.009307867568571574
15000,0.004578301058571412,0.001731482495714301,0.0032747965399997675,0.0036854039157143297,0.006852704278571764
25000,0.004460824582857177,0.001964858341428583,0.0037990290428573255,0.003495225657143075,0.007208604041429355
100000,0.004489877104285743,0.0019227938071429663,0.003368925111428293,0.003636410295713891,0.007656972497143215
