,Naive,Default,MD5,SHA256,Jenkins
2,0.0003375657914304091,0.00027663917714172774,0.00042606566428211016,0.00044065481428073584,0.0007779261228591037
10,0.00020496126143241,0.00016066066001388079,0.0002869701742799537,0.00031751537714236685,0.0006473869528573621
50,0.00020900564285901576,0.00012401376285457185,0.00026223882714735477,0.0002850914600068271,0.0006157025928561259
250,0.00019954620286236085,0.00011879143572774151,0.0002555731385655235,0.0002821567557111848,0.0005992735571323594
500,0.00021704641428576515,0.00012254805285920155,0.00026299758715010415,0.00028029524143286313,0.0006136149257145007
1000,0.00020413308285372166,0.00012293569142327344,0.0002599567071436988,0.000282089811438969,0.0006096683242919555
2000,0.00020607402857941842,0.0001290356071331189,0.0002628042399997607,0.0002770045299985213,0.0006076920542909647
5000,0.00020407060713686017,0.00012217331143412073,0.0002622388071384713,0.000277426232849913,0.0006176337528709804
25000,0.00020891456286335598,0.00015704759001112378,0.00026696050570795447,0.00028024816142923167,0.0005991184628562353
100000,0.0002151547085720397,0.00014995831000435699,0.0002552707328608708,0.0002793636514304256,0.0006594246999988432
