,Naive,Default,MD5,SHA256,Jenkins
10,0.02034294543721314,0.010202290332859515,0.026088580374240077,0.028933208098585184,0.0669989051113953
50,0.02225378703991217,0.00995381305713506,0.025909252808570662,0.028268039538525046,0.06819797783857212
250,0.022987983398613455,0.010138444034299548,0.027758228214307953,0.026991762642906647,0.06886520352859017
500,0.024043492335726373,0.011087376197184702,0.026718903024281773,0.028189674017194192,0.0711392769214165
1000,0.023936344818544706,0.01124882730135661,0.026277590095705818,0.02880524132284336,0.06563385435429933
2000,0.023081603938522415,0.012229392957150205,0.029212285509981614,0.028401160901453944,0.06304026435570059
5000,0.022879193078551907,0.011401005364231033,0.024814227765600664,0.027398615207223753,0.062041823631443546
15000,0.021021778771412626,0.011120523708564829,0.02530834688143971,0.031495293705749126,0.062426534188562074
25000,0.02118374221567397,0.011354292762823336,0.026970554957182945,0.027335206218579385,0.06176629477438317
100000,0.021475256855649473,0.01434111656562891,0.027645823260037495,0.02865893737146897,0.06199772715148616
