,Naive,Default,MD5,SHA256,Jenkins
2,0.019175322031426602,0.008998110637148784,0.021676898804284323,0.023832871738574925,0.062151548618572375
10,0.01863852674856649,0.009272328741426463,0.022388864617153427,0.02404927327429115,0.06074390939143216
50,0.018748509887139206,0.009806844479992702,0.02239201875857751,0.024104716092863653,0.06082738437857188
250,0.019036730739997957,0.009449435219997082,0.022183746225704713,0.02479212970572137,0.06153943760857406
500,0.02039488342142639,0.009806270162854552,0.022416986715709623,0.025481387771428023,0.06194540021569992
1000,0.02059924035714565,0.009821570982858248,0.022493788028571413,0.024818986907136735,0.0626428894671439
2000,0.01964100784142959,0.009577831085714155,0.022762572728575573,0.02458507475285712,0.062496074802864836
5000,0.019731306428574107,0.00951490535285432,0.022815445468565614,0.02461802608857397,0.06172996505429702
25000,0.020278428187152062,0.009999535119999823,0.022586483747150592,0.024728177938559383,0.06216693721571313
100000,0.019617137838566643,0.01299617018857264,0.022618176010005948,0.02483127594857381,0.06158342800570348
